makan                      to eat, consume
sampai                     arrive, reach, up to
yang maha mulia            His Highness
sembahyang                 pray
gereja                     church
tokong                     (Chinese) temple
orang hindu                Hindu
tahun lepas                last year
tahun depan                next year
bekerja                    to work
masjid                     mosque
kuil hindu                 Hindu temple
minggu lepas               last week
minggu depan               next week
depan                      front, future, coming
sejuta                     one million
minit                      minute
juta                       million
jam                        hour; a clock
saat                       second, moment
pelajaran                  lesson, education
pejabat pos                post office
pukul                      to beat, to hit; o'clock
mandi                      bathe
tidur                      sleep
pagi                       morning
bangun                     get up, wake up
makan pagi                 breakfast; to have breakfast
tengah                     centre, middle
lambat                     slow
siaran                     broadcast (n.); radio program
berapa lama                how long (in time)
dengar                     to hear
pandai                     clever, capable, skilful
setengah                   half
malam                      night, dark
sekolah                    school
lama                       ancient, long, old
bila                       when
jamuan                     feast
suku                       quarter
tuan                       mister, sir
dia sendiri                he himself, she herself
terbang                    to fly
matahari                   the sun
terbit                     (1) to rise (of the sun) (2) to publish (of books), to issue
berhenti                   stop, halt
bertolak                   to start, to leave; to set sail; to move off
sendiri                    self
saya sendiri               I myself
kapal terbang              aeroplane
turun                      to descend, fall, come down
masuk                      to enter
keluar                     to go out, motion outwards
nanti                      (1) later (2) wait for
bertanya                   to ask
lekas                      quickly, promptly
masa                       time, era
tiket                      ticket
sekejap                    a moment, a second
pergi lekas                to go at once, to hurry
ambil                      to take; to fetch, to get
tempat                     place, seat, spot
bayar                      to pay
tiba                       to arrive, to reach
berkahwin                  to marry
besar hati                 proud (in a good way)
berdiri                    to stand
jemput                     to invite
istiadat                   custom, practice; ceremony
bersanding                 to sit side by side
tiba-tiba                  suddenly
hati                       heart; the liver, the feelings
suka hati                  delighted, happy
di luar                    outside
nantikan                   to wait for
pengantin perempuan        bride
cantik                     lovely, sweet, beautiful
pengantin                  bride or bridegroom
pengantin laki-laki        bridegroom
sakit hati                 angry
susah hati                 worried, anxious
kecil hati                 hurt (of feelings)
jantung                    heart (part of the body)
sudah                      done, finished, ended
sihat                      healthy, well
belum                      not yet
siap                       ready
mula-mula                  first of all
bersetuju                  to hide (intransitive)
tuang                      to pour out; to make (tea)
tuang teh                  to make tea
tak sempat                 no time (to do)
kereta sewa                taxi
menang                     to win, succeed
maafkan                    to excuse, to forgive
sewa                       to hire, to rent
loteri                     lottery
belanja                    expense, spend
ya                         yes
tidak / tak                not, no
kah                        an interrogative suffix
kena                       to incur, to be affected by
kena denda                 to be fined
kena hukum gantung         to be sentenced to death
kena tangkap               be arrested
luka                       wound, scratch
penjara                    a jail, prison
langgar                    to attack, to collide, ram
suka tak suka              willy-nilly
bermalam                   to spend the night
denda                      a fine, penalty
hukum                      judge's decree, judgement, command, order, law
gantung                    to hang
hukum gantung              sentence of death (by hanging)
penyakit                   disease, bout, malady, ailment
pisau                      knife
juga                       and yet, also
terjatuh                   to fall down
terjatuh tangga            to fall downstairs
kaki                       foot, leg, base
kasihan                    pity
kasihan dia!               poor fellow
tua                        old, aged, mature
berumur                    to be … years old
pengganas                  bandit, terrorist
negeri                     state, motherland
kalau                      if
tentu                      sure, certain, definite
elektrik                   electric
pagi-pagi                  early in the morning
tangga                     stairs, steps, ladder
patah                      fractured, broken
doktor                     physician, doctor
muda                       young, unripe, light
petang                     afternoon, evening
tembak                     to shoot (with gun, etc)
tadi                       just now, lately
cukur                      to shave (transitive)
pakai                      to put on, to use
kawan tua                  an old friend (a friend who is old in age)
kawan lama                 an old friend (a friend one has known for a long time, but who may be still young)
guru lama saya             my old teacher (the teacher I had when I was at school)
siapa-siapa                anyone, anybody
mana-mana                  anywhere
apa-apa                    whatever, any
poket                      pocket
kotak                      a chest, a locker, box
cukai                      tax
habis                      finished, gone, to end, to complete, after
sudah habis                all gone, over (adv.)
kena cukai                 (to be) dutible, (to be) taxable
hisap                      to suck, to smoke
terbakar                   to be on fire, burned down, aflame
pun                        also, too
salah                      mistaken, at fault, guilty
hidung                     nose
penjahat                   gangster, delinquent, criminal
pucuk                      a shoot, a sprout
atas                       above, on
gunung                     mountain
bawah                      below, under
lari                       to run, to flee, run away
ikut                       to follow, to go along, to imitate
bersembunyi                to hide (intrasitive)
lambat-lambat              slowly
lubang                     hole
berlari                    to run
tikus                      rat, mouse
belakang                   back, behind, rear
almari                     wardrobe, cupboard
takut                      afraid, fearful
lompat                     to jump, leaping
sebelah                    side
bersebelah                 be split in two
bas                        bus
mata-mata                  policeman
bawa                       to carry, to bring
tepi                       edge, side, make way, border, margin
berpindah                  to move, migrate, devolve
antara                     between, among
suruh                      to order, command, give instructions
bawa kereta                to drive a car
gula                       sugar
pula                       also, likewise, again, too
sepak                      to kick, to slap
pakaian                    clothes, clothing
guru besar                 headmaster
lulus dalam                to pass (examination)
bermain                    to play
bola                       ball
bola sepak                 football
bola keranjang             basketball
bola tangkis               badminton
teruk                      serious (of illness), heavy (of work)
karangan                   essay, composition, article
bekerja kuat               to work hard
miskin                     poor
sakit teruk                seriously ill
berjalan kaki              to walk, to go on foot
kuat                       strong, vigorous
semua                      all
simpan                     to keep, to collect
buka                       to open
basah                      wet, moist, damp
pinggan                    plate, saucer, dish
pinggan mangkuk            earthen ware, utensils
eh!                        oh dear!
kering                     dry
mangkuk                    bowl
mujur                      fortunate, lucky
mujurlah!                  that's lucky!
bubuh                      to put, place, to set
lagi suka                  to prefer
lantai                     floor
badan                      body
bumbung                    roof of a house
lengah                     to delay, waste time, to idle
jangan                     do not
baju                       garment, dress, shirt
cukup                      enough, sufficient, full
berbual-bual               to have a chat
cuci                       to wash, make clean with water or other liquid
gelas                      glass
tak payah                  there's no need to, to bother to
sejuk                      cold, cool
sekali                     once
sekalipun                  although, even though, albeit
jangan sekali-kali         don't ever, don't even once
singgah                    to call in, to stop off
macam itu                  like that, that way
ikut itu                   that way (direction)
pun… juga                  also, too
macan ini                  like this, this way
ikut ini                   this way (direction)
terbuka                    open (adj.)
alih                       to move (transitive)
lain kali                  next time, another time
susah                      difficult
sungguh                    true, correct, genuine, real, very
lain                       other, different
sebelum                    before
pasal                      concerning, about
sebab                      cause, motive, reason
tak berapa                 not very
perut                      stomach
semacam                    a certain kind
malas                      lazy, idle, sluggish
malam semalam              last night
pasal apa                  why
kerana                     because
asing                      (1) foreign, strange (2) separate
rajin                      diligent, industrious
barangkali                 maybe, perhaps, probably
demam                      fever
akhir                      last, the end
biasanya                   normally, generally, usually
senang                     easy, comfortable, without difficulty
hutang                     debt
gaji                       salary, wages, pay
minta                      to ask for, to request
sekali lagi                once more, again
simpan duit                to save money
kerajaan                   government
pekerja                    worker, employee
biru                       blue
merah                      red
hijau                      green
berhutang                  indebted, owe, debit
bodoh                      stupid, foolish, dull
kurus                      thin, skinny
berguna                    constructive, useful, conducive, worthy
gemuk                      fat, plump
jahat                      naughty, wicked, immoral
menengah                   moderate, intermediate , secondary (education)
universiti                 university
rendah                     low, short
sekolah menengah           high school
sekolah tempangan          boarding school
bentuk                     classifier used for ring- and hook-shaped objects
bidang                     classifier used with hides, sails, mats and land
bilah                      classifier for sharp or knife-like objects
butir                      classifier for fruits, coconuts, gems and eggs
helai                      classifier for cloth, clothing, grass, hair, leaves, paper
kayu                       classifier used with kain (cloth), means "roll"
keping                     classifier for things that come in pieces or lumps
kuntum                     normal classifier for flowers
potong                     classifier for things cut in slices
puntung                    classifier used for butt-ends of cigars, cigarettes, candles, etc.
rawan                      classifier for fishing-nets
urat                       classifier for thread
utas                       classifier for things in strings
punya                      to have, to own
kasi                       to castrate
bilang                     to count, say the numerals in order
perang                     (1) brown (color) (2) war, battle, fighting
tadah                      to intercept, catch a falling object
hitam                      black
kelabu                     grey
kunyit                     turmeric, saffron
kuning                     yellow
biru muda                  light blue
merah tua                  dark red
lengan                     arm, sleeve
dada                       the chest
telinga                    (1) ear (2) handle of vessel or pot
mata                       eyes
muka                       face
rambut                     hair
tangan                     hand
kepala                     head
mulut                      mouth
kuku                       nail, claw, hoof, talon
ibu jari                   thumb
jari kaki                  toe
gigi                       tooth
pinggang                   waist
tali pinggang              belt
baju dalam                 undershirt
pendek                     short
sarung tangan              gloves
sapu tangan                handerkerchief
topi                       hat
songkok                    velvet cap (worn by Malays)
baju dalam panjang         (woman's) slip
sarung kaki                socks
sarung                     covering for chair, skirt, sheath
tali leher                 necktie
baju tidur                 pajamas
tali kasut                 shoe string
seluar dalam               panties (women's), underpants (men's)
kain                       cloth
kain sarung                sarong
kemeja                     shirt (man)
gosok baju                 to iron clothes
baju hujan                 raincoat
seluar pendek              shorts
seluar panjang             trousers
serban                     turban
panjang                    long
binatang                   animal, beast
binatang liar              wild animal
binatang jinak             tamed animal
kerbau                     buffalo
gajah                      elephant
kuda                       horse
cicak                      lizard
singa                      lion
pelanduk                   mouse deer
kera                       long-tailed monkey
monyet                     monkey
harimau                    tiger
rimau                      tiger
burung                     bird
burung gagak               crow
burung hantu               owl
ayam                       chicken
burung nasar               vulture
itik                       a duck
angsa                      a goose
ayam belanda               a turkey
serangga                   insect
semut                      ant
lebah                      honey-bee
kumbang                    beetle
lipan                      centipede
riang-riang                cicada
lipas                      cockroach
kelip-kelip                firefly
lalat                      housefly
tebuan                     hornet
cencada                    mantis
angkut-angkut              small wasp, Potter wasp
kala jengking              scorpion
labah-labah                spider
penyengat                  a wasp
anai-anai                  termite
dan sebagainya             and things like that, etcetera
ilmu alam                  natural science, geography
persekutuan tanah melayu   Federation of Malaya
negeri johor               Johor
negeri kedah               Kedah
negeri kelantan            Kelantan
negeri melaka              Malacca
negeri sembilan            Negri Sembilan
negeri pahang              Pahang
negeri pinang              Penang (state)
pulau pinang               Penang (island)
negeri perak               Perak
negeri perlis              Perlis
negeri selangor            Selangor
negeri trengganu           Trengganu
teluk                      a bay
kuala                      estuary, confluence
tanjung                    cape, a promontory, a headland
semenanjung                peninsula
getah                      rubber, sap, resin
kebun getah                rubber plantation
pokok getah                rubber tree
toreh                      to tap (rubber tree etc)
pokok                      tree
bendang                    padi field
sawah                      irrigated ricefield
timah                      tin, zinc, lead
biji timah                 tin ore
awan                       cloud
embun                      dew, haze
air bah                    flood
kilat                      lightning
kabut                      cloudy, misty, indistinct
ribut                      floods
guruh-gemuruh              thunder
kebun                      a garden
rumah                      house
longkang                   drain, ditch, cesspool
tukang kebun               gardener
tingkat                    a storey, level, floor
beranda                    balcony, verandah
bilik tidur                bedroom
tempat tidur               bed (general term)
katil                      bed (European style)
pangking                   bed; wooden sleeping platform as used in servants' quarters, etc.
tilam                      mattress
kelambu                    mosquito net
selimut                    blanket, a rug
serambi                    verandah (Malay style), open verandah
tembok                     an outside wall, an embankment, stonewall
dinding                    wall, partition
tingkap                    window
bilik makan                dining room
kerusi                     chair
garpu                      fork
camca                      spoon
kuki                       cook (noun)
kuali                      cooking pan, frying-pan, wok
cerek                      kettle, tea-pot
amah                       wet-nurse, maid servant
bilik air                  bathroom
bilik mandi                bathroom
sabun                      soap
pili                       tap (noun), pipe
jamban                     lavatory, toilet, a privy
tuala                      towel
dapur                      kitchen, oven, stove
piring                     saucer
cuci kain                  to wash the clothing, to do the wash
cuci pinggan               to wash the dishes, to do the washing up
masak                      (1) to cook; cooked (2) ripe, mature
kacang                     bean, peas
mentega                    butter
kubis                      cabbage
keju                       cheese
cabai                      chilli, capsicum
ketam                      (1) crab (2) plane (3) harvest
tepung                     flour
kacang buncis              green beans
kacang bendi               lady's fingers, okra
susu                       milk
bawang                     onion
kacang pis                 peas
lada putih                 white pepper
ubi                        tapioca, yam
ubi kentang                potato
udang                      prawn, shrimp
udang karang               lobster
sagu                       sago
garam                      salt
kacang soya                soybean
kicap                      soy sauce
ubi kayu                   tapioca
daun teh                   tea (dry leaves)
cuka                       vinegar
hangat                     hot, warm (general term)
mentah                     unripe, uncooked, raw
tawar                      tasteless
rebus                      to boil
goreng                     to fry
panggang                   to roast, to toast
agung                      great, important, grand
bagi                       (1) divide, give (2) for, to
bagi pinjam                to lend
bahagian                   part, section, portion
bahasa kebangsaan          national language
bancuh kopi                to make coffee
bancuh                     mix, stir, knead
benang                     a thread
bercukur                   shave, get a haircut
berjalan-jalan             to walk about
berkata                    to say
betina                     female (animal)
bola golf                  golf ball
buah durian                durian
buah limau                 orange
buah manggis               mangosteen
buah pinang                areca nut, betel nut
buah pisang                banana
cepat                      quick, fast
cincin                     ring
dan lagi                   also, in addition
delapan                    eight
dilahirkan                 to be born
dulu                       formerly, previously, first, before, prior
gi                         butter, ghee
hari ahad                  Sunday
hari senin                 Monday
hari selasa                Tuesday
hari rabu                  Wednesday
hari khamis                Thursday
hari jumaat                Friday
hari sabtu                 Saturday
jala                       fishing net, net
jantan                     male (animals, plants)
jarum                      a needle
kacang hijau               peas
kail                       fishing hook
kajang                     awning, screen of palm-leaf, kajang
kebangsaan                 nationality, nationalism, national
kena langgar kereta        be run over by a car
kertas                     paper
laut                       sea
lemari                     cupboard
lilin                      candle, wax
lombong                    a mine; to mine
lombong bijih timah        tin mine
nampak                     to see, to catch sight of
nombor satu                first class, best quality
nyiur                      coconut
panas                      hot (sun)
pasir                      sand
payah                      difficult, hard
payung                     umbrella
pedang                     sword, sabre
pelajaran ulangkaji        revision lesson
pelamin                    bridal dais
perkataan                  word
persekutuan                alliance, federation
pisau cukur                a razor
raja                       king, monarch, supreme ruler
putera                     prince
puteri                     princess
rumah sakit                hospital
rumput                     grass, weed
sarung kaki panjang        stockings
sarung kaki pendek         socks
sekolah rendah             primary school
sekolah tinggi             university
bulu                       body hair, fur, feather, bristle
senapang                   a gun
tahan belanja              to be able to afford
tali                       rope, cord, string
tanah                      land, soil, earth, territory
tanah melayu               Malaya
tapi                       but
lupa                       to forget
tongkat                    a crutch, walking stick
ulangkaji                  revision
untuk                      for
wah!                       an exclamation of surprise - ah, oh
yang dipertuan agung       Paramount Ruler (the King of Malaysia)
yang dipertuan besar       the Ruler of Negeri Sembilan
yang pertama               first
kena hukum                 to be sentensed (to)
burung pipit               sparrow
burung nuri                parrot
burung merpati             pigeon
kelip                      to blink, flicker, twinkle
pala                       nutmeg
gelabah                    sad, worried, unhappy
ilmu bahasa                linguistics
ilmu hayat                 biology
ilmu kimia                 chemistry
ilmu hisab                 arithmatics
ilmu                       knowledge of, science
macam ini                  like this,  this way
aku                        I (informal)
kau                        you; your
dan                        and
akan                       shall; will; wood
anda                       you (unfamiliar, formal, polite)
kamu                       you (familiar, friend, same status)
mereka                     they; them
adalah                     is, am, are
bisa                       can, be able, could
harus                      should, must, need, have to
sini                       here
hanya                      only, just, simply
seperti                    as, such as, like
jika                       if; when
telah                      already
ingin                      want, would like to, wish
jadi                       so, thus, therefore, (but also as a verb: to become, to get, end up ...; as an adjective: finished, made-up
bagaimana                  how?
lakukan                    to do
apakah                     whether, if
benar                      true, right, correct
mungkin                    may, possible, likely
ia                         it, he, she
pernah                     have already
hal                        case, matter
lihat                      see; look
kembali                    back, return, again
sesuatu                    something
seorang                    somebody
menjadi                    be, become
melihat                    see; look; observe
tentang                    concerning
atau                       or; either... or
begitu                     so, such; thus...
sana                       there (out of sight)
perlu                      to need (to), obligatory, necessarily
ayo                        goodbye; come on!
terjadi                    occur, happen
kenapa                     why; what for
melakukan                  do, perform, carry out
hidup                      life
mengapa                    why; what for
sebuah                     a, an, one for an object as I understand it (as opposed to e.g. seorang = a, an, one for a person )
hei                        hey
maaf                       sorry
membuat                    make, create
masih                      still
kalian                     you (plural, form of adress to equals, younger persons or persons of lower status)
waktu                      time, when
ayah                       father
oke                        okay
baru                       new, fresh, recent
sedang                     is, are (doing something)
beberapa                   some, a few, several
tunggu                     wait
memiliki                   have, own, possess
ketika                     when, as, during, while
mengatakan                 to say
tuhan                      God
lalu                       last, then, ago
semuanya                   all, everything, all of them
berada                     be, lie, stand
oleh                       by
percaya                    believe; trust
sedikit                    slightly, some, a little
dunia                      the world, global
setiap                     each, every
membunuh                   kill
sebagai                    as, like, by way of
mengambil                  take; fetch
rasa                       feel; taste
masalah                    problem
pertama                    first
terlalu                    too, exceedingly, very
teman                      friend
pasti                      sure, surely, certainly
kali                       time
menemukan                  find, discover
cara                       how, way, manner
bersama                    with, together with
kemudian                   then, later, after
gadis                      girl
biarkan                    let, allow, leave
adakah                     is there ?, any ...
tetap                      fixed; permanent
wanita                     lady; woman; female
bahkan                     moreover; on the contrary
luar                       outside
sayang                     be fond of; have affection for someone; unfortunately
ibu                        mother
membawa                    carry; bring
bertemu                    meet
selama ini                 all this while
sebenarnya                 actually
tanpa                      without
buruk                      bad; ugly
bicara                     speak; talk
gila                       crazy
manusia                    human being
ayolah                     c'mon
mengerti                   understand
mencari                    look for; search
yakin                      believe; confident
membantu                   help
beritahu                   inform
hebat                      great; formidable; impressive
merasa                     feel; taste
pak                        father
cinta                      to love
berbicara                  speak; talk
memang                     indeed; of course
bahawa                     that (introducing a quotation)
terakhir                   last; final
mendengar                  hear
terus                      straight ahead
pulang                     go back; return
mempunyai                  have; own; possess
paling                     the most
cuma                       merely; only
bergerak                   move
tiada                      not any
betul                      true; correct; repaired
jauh                       far
senjata                    weapon
biasa                      usual; regular; normal
menunggu                   wait; wait for
segera                     soon; immediately
sialan                     damn it
seharusnya                 ought to; should
kehilangan                 loss
meninggalkan               leave behind; desert; abandon
maksudku                   I mean
tepat                      exact; exactly
keluarga                   family; relatives
lelaki                     male; man
ayuh                       come on; let's go
aneh                       strange; odd
halo                       hello
hampir                     almost; nearly
seluruh                    all; entire; whole
jatuh                      fall
mobil                      car
penting                    important; major
jumpa                      meet
laki                       husband
terbaik                    best
bunuh                      murder; kill
sebentar                   in a moment; brief period
fikir                      think; to think
peduli                     care; bother about; mind
berlaku                    sold; valid; to be valid; take place; occur
pekerjaan                  job; occupation; profession
mendapat                   get; reach; attain; to be able
menarik                    interesting
diam                       live (stay in a place)
tenang                     calm; peaceful
satu-satunya               sole; one and only
berhasil                   succeed; achieve desired result
hilang                     disappear; lose; lost
selesai                    completed; finish; end; complete
berakhir                   end; expire
hai                        hi
memberi                    give
benda                      object (thing)
cakap                      speak; talk
memberitahu                notify; inform
secara                     by means of; by way of
bagian                     part; portion; department
amerika                    America
terlihat                   visible
sejak                      since
menggunakan                use
silakan                    please; invite
dekat                      close; near
mudah                      easy
akhirnya                   finally
berharap                   to hope
indah                      beautiful; precious
kesempatan                 opportunity
jelas                      clear
berubah                    change; alter
mimpi                      a dream; to dream
tinggalkan                 leave behind; depart
melalui                    by way of; via
biar                       let (allow)
perempuan                  female; woman
polisi                     policy
aman                       peaceful
negara                     country
kekuatan                   strength
menyelamatkan              save; rescue
bantuan                    help; assistance; aid
penuh                      full; complete
kecuali                    except for; unless
sekitar                    around; vicinity
cerita                     story
perjalanan                 travel; journey
menunjukkan                show; to demonstrate
pilihan                    choice
darah                      blood
kematian                   death
kedua                      second
saudara                    friend; brother
maksud                     purpose; intention
berarti                    mean; infer
faham                      understand
harap                      hope
sepanjang                  along; as long as
serius                     serious
menyenangkan               pleasant; enjoyable
bayi                       baby
membiarkan                 let; desert
meminta                    ask for (request)
sebelumnya                 previous
sehingga                   to; until
kapten                     captain
keras                      hard
suara                      voice
kira                       to calculate; to count
kamar                      room; chamber
lucu                       funny
mengenai                   concerning; about (regarding)
naga                       dragon
khuatir                    worry; afraid
meninggal                  pass away
permainan                  game (toy)
alasan                     motivation; ground; excuse
bantu                      to help
mesti                      must
pertanyaan                 query; question
sempurna                   perfect; complete
janji                      to promise
sulit                      difficult; confidential; secret
membaca                    read, to read
mesin                      machine
kapan                      when
menerima                   receive; accept
terlambat                  delayed (late)
pesawat                    airplane
agak                       guess; quite
menuju                     head for (toward)
neraka                     hell
presiden                   president
semakin                    more and more
tanya                      ask; enquire
tanda                      sign; indication
agen                       agent
membayar                   pay
rasanya                    to taste (salty, spicy)
sementara                  while; temporarily
tutup                      closed; to close
lagu                       song
memilih                    to choose
ruang                      space; gap
ahli                       expert; member
kelihatannya               to look; appear
pasukan                    troops; team; military unit
kunci                      key; lock
menyesal                   to regret
panggil                    call; summon
menembak                   shoot
berikutnya                 the next; the following
kenal                      know; recognise; be aquainted
frank                      franc
sendirian                  by oneself; all alone; on one's own
bumi                       Earth
kelas                      class
dokter                     doctor
perkara                    matter
pesta                      party; festival; celebration
agar                       in order that; so that;
batu                       stone; rock
demi                       by; for
lihatlah                   look!
mulia                      noble
menulis                    write; compose
benci                      to hate
film                       movie
langsung                   direct (non-stop)
udara                      air
arah                       direction
bicarakan                  talking
mencuri                    to steal
menikah                    married; get married
menjaga                    keep; guard
rencana                    rencana; plan
bintang                    star
kesalahan                  error; fault; mistaken; to blame
bahagia                    happy; blissful
muncul                     appear; emerge
polis                      police
segala                     all; every
berita                     news
awal                       early
berani                     bold; brave
berjaya                    successful; to succeed
panggilan                  call
makhluk                    creature
namun                      however; nevertheless
hadiah                     gift
selamanya                  forever; permanently
jenis                      type; sort
mengetahui                 know; to have or get knowledge of
keadaan                    condition; situation
gunakan                    to use
terhadap                   against; about; toward
denganku                   with me
berusaha                   to try; to make efforts
membuatku                  made me
menangkap                  arrest; catch; capture
jaga                       to watch; to guard; watchman
tubuh                      body
bolehkah                   can; may
pesan                      to order something
